"Mouse","Sex","Batch"
"J100","M",1
"J101","M",1
"J103","M",1
"J104","M",1
"J105","M",1
"J106","M",1
"J107","M",1
"J108","M",1
"J109","M",1
"J110","M",1
"J112","M",1
"J113","M",1
"J114","M",1
"J117","M",1
"J119","M",1
"J122","M",1
"J125","M",1
"J126","M",1
"J131","M",1
"J132","M",1
"J134","M",1
"J135","M",1
"J136","F",2
"J137","F",2
"J138","F",2
"J139","F",2
"J140","F",2
"J141","F",2
"J142","F",2
"J143","F",2
"J144","F",2
"J145","F",2
"J146","F",2
"J147","F",2
"J148","F",2
"J149","F",2
"J150","F",2
"J151","F",2
"J152","F",2
"J153","F",2
"J154","F",2
"J155","F",2
"J156","F",2
"J157","F",2
"J158","F",2
"J159","F",2
"J160","F",2
"J162","F",2
"J166","M",2
"J167","M",2
"J168","M",2
"J169","M",2
"J170","M",2
"J171","M",2
"J172","M",2
"J174","M",2
"J175","M",2
"J176","M",2
"J177","M",2
"J178","M",2
"J179","M",2
"J181","M",2
"J183","M",2
"J185","F",2
"J186","F",2
"J187","F",2
"J188","F",2
"J191","F",2
"J192","F",2
"J193","F",2
"J195","F",2
"J196","F",2
"J197","F",2
"J198","F",2
"J199","F",2
"J200","F",2
"J201","F",2
"J202-1","F",2
"J202-2","F",2
"J205","F",2
"J206","F",2
"J207","F",2
"J208","F",2
"J209","F",2
"J210","F",2
"J211","F",2
"J214","M",2
"J215","M",2
"J216","M",2
"J217","M",2
"J219","M",2
"J220","M",2
"J221","M",2
"J222","M",2
"J223","M",2
"J224","M",2
"J225","M",2
"J226","M",2
"J227","M",2
"J228","M",2
"J229","M",2
"J230","M",2
"J231","M",2
"J232","M",2
"J233","M",2
"J234","M",2
"J235","M",2
"J236","M",2
"J237","M",2
"J238","M",2
"J239","M",2
"J240","M",2
"J241","M",2
"J242","M",2
"J243","M",2
"J244","M",2
"J245","M",2
"J246","M",2
"J248","M",2
"J250","M",2
"J251","M",2
"J33","F",1
"J34","F",1
"J35","F",1
"J36","F",1
"J37","F",1
"J38","F",1
"J39","F",1
"J40","F",1
"J41","F",1
"J42","F",1
"J43","F",1
"J44","F",1
"J45","F",1
"J46","F",1
"J47","F",1
"J49","F",1
"J50","F",1
"J52","F",1
"J53","F",1
"J54","F",1
"J55","F",1
"J56","F",1
"J57","F",1
"J58","F",1
"J59","F",1
"J60","F",1
"J61","F",1
"J62","F",1
"J63","F",1
"J64","F",1
"J65","F",1
"J66","F",1
"J67","F",1
"J68","F",1
"J69","F",1
"J70","F",1
"J71","F",1
"J72","F",1
"J73","F",1
"J74","F",1
"J75","F",1
"J76","F",1
"J77","F",1
"J78","F",1
"J79","F",1
"J81","F",1
"J82","F",1
"J83","M",1
"J85","M",1
"J86","M",1
"J87","M",1
"J88","M",1
"J89","M",1
"J91","M",1
"J92","M",1
"J94","M",1
"J95","M",1
"J96","M",1
"J98","M",1
