"marker","chr","pos"
"SAH010136363","1",0.19013
"S2H010137098","1",0.19013
"mUNC010515443","1",0.19013
"gUNCHS000018","1",0.19013
"S1H010189775","1",0.33145
"S3N010202785","1",0.371691340208932
"gUNC30322","1",0.43258
"mUNC010010509","1",0.61494
"mbackupJAX00000484","1",0.61494
"gUNC83675","1",0.64545284982664
"gUNC114802","1",1.16061
"gUNC120225","1",1.53391980653817
"gJAX00001099","1",3.84971818223054
"gUNC207853","1",4.21672405274747
"SSH010754626","1",4.37430617859222
"ST2010841024","1",5.01152
"B10010021636","1",6.14754874626039
"gUNC258775","1",6.70668865443168
"mbackupUNC010532073","1",8.39009519177246
"mJAX00001692","1",9.19142606507742
"gUNCHS000309","1",9.49326
"mUNC010054938","1",9.49326
"mJAX00001960","1",9.82154
"mbackupUNC010061308","1",9.99381543957617
"gUNC383274","1",10.28697
"gUNC394961","1",11.0097047489208
"gUNC432749","1",12.223804584199
"gUNC469448","1",14.1502032276413
"S6J011558924","1",15.8665487051154
"gUNC487441","1",15.9452962457259
"S3R011633104","1",18.5875852249838
"gUNC525766","1",18.65235
"gUNC548541","1",20.8748911681624
"gUNC550476","1",21.1931834779104
"mJAX00249118","1",22.05849
"gJAX00249409","1",22.231625233793
"gUNC591481","1",22.47389
"gJAX00003475","1",24.35202
"gUNC641785","1",24.3840390124086
"S3N012018541","1",24.402461562317
"gJAX00250282","1",24.45957
"gUNC667964","1",25.3998656633559
"mUNC671488","1",25.50036
"mUNC684769","1",25.50036
"DNT012225925","1",26.7821045960163
"gUNC715622","1",27.0362003598415
"SBT012244057","1",27.0678287784685
"gUNC721751","1",27.22489
"mUNC010731340","1",27.29007
"gJAX00252106","1",27.47917
"mbackupJAX00252178","1",27.6045819668183
"mJAX00004261","1",28.9540198875385
"gUNC766527","1",28.9816816922362
"gUNC770116","1",29.0467194578095
"gUNC791131","1",29.8885069259582
"gUNC794531","1",30.4967457089284
"mUNC807932","1",31.24162
"S6Y012629524","1",31.81349
"gUNC835226","1",32.0621135892418
"gUNC868588","1",33.0774613529574
"S6Y012759490","1",33.175236293993
"S6H012772559","1",33.2971453349421
"UNC878465","1",33.420057849374
"gUNC890096","1",33.8380894199513
"mUNC898891","1",34.2633043035321
"mUNC010142203","1",36.8207516181542
"B6_01-074963079-S","1",37.0397230444648
"S6J013019470","1",37.65969
"S3N013040016","1",37.65969
"gbackupJAX00005508","1",37.71204
"SSR013088151","1",38.00846
"S3N013089544","1",38.00846
"gUNC982810","1",38.1747651802762
"gUNC988578","1",38.28388
"S6J013139471","1",39.0421377448477
"S6T013141533","1",39.1307157751231
"S6J013178782","1",39.3954948290196
"S1H013204417","1",39.6193625141916
"SFT013210000","1",39.720774603205
"gUNC1023024","1",39.9075969768756
"ST2013252820","1",40.2947004927795
"gUNC1047748","1",40.8572703016829
"mUNC1079635","1",42.43619
"gUNC1092120","1",42.92834
"gUNCHS001601","1",43.54508
"S2H013602293","1",43.5881805435553
"SAH013616907","1",44.01373
"gUNC1138338","1",44.56745
"gUNC1142250","1",44.5972736007829
"gUNC1153431","1",44.841313530672
"mUNC010586869","1",45.7599070467058
"gUNC1210515","1",46.4214673362081
"gUNC1214415","1",46.4392584908903
"gUNC1225138","1",46.5267375327333
"S6J013976867","1",46.5930947350877
"gUNCHS001812","1",47.24628
"gJAX00260958","1",47.7116
"gUNC1276993","1",47.7116
"gUNC1296431","1",47.7116
"gUNC1307235","1",47.7116
"S2H014199881","1",47.90526
"S6H014218009","1",48.020658095165
"gUNC1335696","1",48.20706
"mUNC1351738","1",48.80228
"mUNC1370843","1",48.98114
"gUNC1383332","1",49.1547415458669
"gJAX00008269","1",49.2976
"gJAX00263321","1",49.43927
"gUNC1469655","1",49.744623759524
"UNCHS002030","1",50.3203109220084
"gUNCHS002088","1",50.8699851666754
"gUNC1565720","1",52.0379783451248
"gUNCHS002157","1",52.14961
"gUNC1593484","1",53.17384
"S6R015034070","1",53.17384
"mbackupJAX00266606","1",55.308726854598
"gUNC1681036","1",55.4455174586335
"SFT015311457","1",56.0805923992541
"gUNC1706873","1",56.4004112493079
"S6T015381026","1",56.73297
"gUNCHS002460","1",56.73297
"S6Y015422817","1",57.6043331853228
"gUNC1739568","1",57.7917845464591
"S6J015452108","1",58.13694
"gUNC1750242","1",58.3751521584598
"gUNC1767179","1",59.0588929636635
"gUNC1770327","1",59.2138850477757
"SFH015526372","1",59.3051344352465
"S2H015556503","1",59.3412159072127
"gbackupJAX00269153","1",59.9918033768445
"gUNC1806326","1",60.6802629393705
"gUNC1823389","1",60.8171291560994
"gUNC1825459","1",60.846672099031
"SFT015716951","1",60.9148069172726
"mUNC010463165","1",61.1792189081747
"gUNC1872920","1",61.70964
"S2H015862651","1",61.70964
"gUNC1886404","1",61.78641
"gUNCHS002697","1",61.8208092234494
"backupUNC010628673","1",62.3595263178491
"gUNC1940721","1",62.3663552088375
"gUNC1973125","1",63.7917713990814
"gUNC1978827","1",63.9038037863395
"SFT016154602","1",63.90724
"S1H016201835","1",64.9115893776817
"gJAX00272462","1",66.1390752341025
"mUNC010905835","1",66.5020110109659
"S1H016331722","1",66.7650256768909
"S2H016332934","1",66.7870725004422
"S2R016348703","1",66.94787
"S6J016375332","1",67.5016087492658
"gUNC2050462","1",67.5622858312157
"S6J016433395","1",68.2169
